METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER cs-en newstest2015 CU-TectoMT.4138 0.0754283978366377 -0.125 
BEER cs-en newstest2015 Illinois.4083 0.0660680835507974 -0.358 
BEER cs-en newstest2015 Neural-MT.4088 0.114762784147023 0.518 
BEER cs-en newstest2015 online-A.0 0.120604773285701 0.436 
BEER cs-en newstest2015 online-B.0 0.131081896527248 0.619 
BEER cs-en newstest2015 tuning-task-AFRL 0.0794151787179012 -0.21 
BEER cs-en newstest2015 tuning-task-DCU 0.0812501637119255 -0.263 
BEER cs-en newstest2015 tuning-task-HKUST-MEANT 0.0761568161588017 -0.32 
BEER cs-en newstest2015 tuning-task-ILLC-UvA 0.0801539245912395 -0.189 
BEER cs-en newstest2015 tuning-task-METEOR-CMU 0.0742499166332579 -0.297 
BEER cs-en newstest2015 tuning-task-USAAR-Tuna-Saarland 0.0808481709478352 -0.22 
BEER cs-en newstest2015 tuning-task-bleu-MERT 0.0800507388001187 -0.196 
BEER cs-en newstest2015 tuning-task-bleu-MIRA-dense 0.0821115645812215 -0.182 
BEER cs-en newstest2015 tuning-task-bleu-MIRA-sparse 0.0730746479106397 -0.32 
BEER cs-en newstest2015 uedin-jhu-phrase.4071 0.13095584204127 0.574 
BEER cs-en newstest2015 uedin-syntax.4004 0.131465432273794 0.532 
BEER_Treepel cs-en newstest2015 CU-TectoMT.4138 0.067999517185285 -0.125 
BEER_Treepel cs-en newstest2015 Illinois.4083 0.0571179269432918 -0.358 
BEER_Treepel cs-en newstest2015 Neural-MT.4088 0.106214019407744 0.518 
BEER_Treepel cs-en newstest2015 online-A.0 0.107571575670097 0.436 
BEER_Treepel cs-en newstest2015 online-B.0 0.120022527378139 0.619 
BEER_Treepel cs-en newstest2015 tuning-task-AFRL 0.0674461928597232 -0.21 
BEER_Treepel cs-en newstest2015 tuning-task-DCU 0.0689337367018186 -0.263 
BEER_Treepel cs-en newstest2015 tuning-task-HKUST-MEANT 0.0646055764234783 -0.32 
BEER_Treepel cs-en newstest2015 tuning-task-ILLC-UvA 0.0688955022516802 -0.189 
BEER_Treepel cs-en newstest2015 tuning-task-METEOR-CMU 0.0631252262352318 -0.297 
BEER_Treepel cs-en newstest2015 tuning-task-USAAR-Tuna-Saarland 0.0691610587971263 -0.22 
BEER_Treepel cs-en newstest2015 tuning-task-bleu-MERT 0.068806460331012 -0.196 
BEER_Treepel cs-en newstest2015 tuning-task-bleu-MIRA-dense 0.0703329366816138 -0.182 
BEER_Treepel cs-en newstest2015 tuning-task-bleu-MIRA-sparse 0.0621006001696292 -0.32 
BEER_Treepel cs-en newstest2015 uedin-jhu-phrase.4071 0.117224093807577 0.574 
BEER_Treepel cs-en newstest2015 uedin-syntax.4004 0.119015391190971 0.532 
BS cs-en newstest2015 CU-TectoMT.4138 0.267524572973 -0.125 
BS cs-en newstest2015 Illinois.4083 0.273287293607 -0.358 
BS cs-en newstest2015 Neural-MT.4088 0.239661254387 0.518 
BS cs-en newstest2015 online-A.0 0.2398682522 0.436 
BS cs-en newstest2015 online-B.0 0.233120364053 0.619 
BS cs-en newstest2015 tuning-task-AFRL 0.261441953532 -0.21 
BS cs-en newstest2015 tuning-task-DCU 0.261424966071 -0.263 
BS cs-en newstest2015 tuning-task-HKUST-MEANT 0.263441075693 -0.32 
BS cs-en newstest2015 tuning-task-ILLC-UvA 0.261459917744 -0.189 
BS cs-en newstest2015 tuning-task-METEOR-CMU 0.265337024854 -0.297 
BS cs-en newstest2015 tuning-task-USAAR-Tuna-Saarland 0.261693569415 -0.22 
BS cs-en newstest2015 tuning-task-bleu-MERT 0.261836740516 -0.196 
BS cs-en newstest2015 tuning-task-bleu-MIRA-dense 0.261594510379 -0.182 
BS cs-en newstest2015 tuning-task-bleu-MIRA-sparse 0.265309031434 -0.32 
BS cs-en newstest2015 uedin-jhu-phrase.4071 0.230564562048 0.574 
BS cs-en newstest2015 uedin-syntax.4004 0.234775068807 0.532 
chrF3 cs-en newstest2015 CU-TectoMT.4138 45.0716 -0.125 
chrF3 cs-en newstest2015 Illinois.4083 43.6332 -0.358 
chrF3 cs-en newstest2015 Neural-MT.4088 49.0237 0.518 
chrF3 cs-en newstest2015 online-A.0 51.6296 0.436 
chrF3 cs-en newstest2015 online-B.0 52.8651 0.619 
chrF3 cs-en newstest2015 tuning-task-AFRL 44.8592 -0.21 
chrF3 cs-en newstest2015 tuning-task-bleu-MERT 44.8923 -0.196 
chrF3 cs-en newstest2015 tuning-task-bleu-MIRA-dense 45.1062 -0.182 
