METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER de-en newstest2015 Illinois.4085 0.127368696486684 -0.172 
BEER de-en newstest2015 KIT.4017 0.1640607177112 0.228 
BEER de-en newstest2015 Neural-MT.4097 0.139062250302815 0.095 
BEER de-en newstest2015 RWTH.4023 0.161290532987026 0.141 
BEER de-en newstest2015 UM-nDA.4137 0.122204136032167 -0.489 
BEER de-en newstest2015 dfki-experimental.4060 0.123941622300258 -0.177 
BEER de-en newstest2015 online-A.0 0.159764130288802 0.298 
BEER de-en newstest2015 online-B.0 0.175578603483532 0.567 
BEER de-en newstest2015 online-C.4166 0.114324353070538 -0.221 
BEER de-en newstest2015 online-E.0 0.100241627024986 -0.544 
BEER de-en newstest2015 online-F.0 0.107308427261634 -0.304 
BEER de-en newstest2015 uedin-jhu-phrase.4102 0.162161146581507 0.319 
BEER de-en newstest2015 uedin-syntax.4027 0.160627860526643 0.258 
BEER_Treepel de-en newstest2015 Illinois.4085 0.111435700944102 -0.172 
BEER_Treepel de-en newstest2015 KIT.4017 0.144922298669589 0.228 
BEER_Treepel de-en newstest2015 Neural-MT.4097 0.126222158245125 0.095 
BEER_Treepel de-en newstest2015 RWTH.4023 0.143500855586098 0.141 
BEER_Treepel de-en newstest2015 UM-nDA.4137 0.105905822840207 -0.489 
BEER_Treepel de-en newstest2015 dfki-experimental.4060 0.108347612892851 -0.177 
BEER_Treepel de-en newstest2015 online-A.0 0.141788931164795 0.298 
BEER_Treepel de-en newstest2015 online-B.0 0.156846742777948 0.567 
BEER_Treepel de-en newstest2015 online-C.4166 0.0994213123463511 -0.221 
BEER_Treepel de-en newstest2015 online-E.0 0.0842364773230314 -0.544 
BEER_Treepel de-en newstest2015 online-F.0 0.0920397477708066 -0.304 
BEER_Treepel de-en newstest2015 uedin-jhu-phrase.4102 0.143328709152401 0.319 
BEER_Treepel de-en newstest2015 uedin-syntax.4027 0.141968964854222 0.258 
BS de-en newstest2015 Illinois.4085 0.235758586258 -0.172 
BS de-en newstest2015 KIT.4017 0.220366521335 0.228 
