METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER en-cs newstest2015 CU-Chimera.3992 0.211418721640483 0.686 
BEER en-cs newstest2015 CU-TectoMT.3949 0.174402989657207 0.209 
BEER en-cs newstest2015 Neural-MT.4096 0.194050863004886 0.467 
BEER en-cs newstest2015 commercial1.3987 0.140645706988622 0.114 
BEER en-cs newstest2015 online-A.0 0.190129314359186 0.426 
BEER en-cs newstest2015 online-B.0 0.197672195045346 0.515 
BEER en-cs newstest2015 tuning-task-AFRL 0.140376331849361 -0.342 
BEER en-cs newstest2015 tuning-task-DCU 0.138197070091957 -0.342 
BEER en-cs newstest2015 tuning-task-METEOR-CMU 0.12711432237709 -0.563 
BEER en-cs newstest2015 tuning-task-USAAR-Tuna-Saarland 0.138278250312123 -0.373 
BEER en-cs newstest2015 tuning-task-bleu-MERT 0.136819931403876 -0.406 
BEER en-cs newstest2015 tuning-task-bleu-MIRA-dense 0.13914181573063 -0.346 
BEER en-cs newstest2015 tuning-task-bleu-MIRA-sparse 0.117558273817081 -0.808 
BEER en-cs newstest2015 uedin-jhu-phrase.4069 0.203726112990685 0.503 
BEER en-cs newstest2015 uedin-syntax.3939 0.187390332270228 0.261 
BS en-cs newstest2015 CU-Chimera.3992 0.255007612606 0.686 
BS en-cs newstest2015 CU-TectoMT.3949 0.270178750485 0.209 
BS en-cs newstest2015 Neural-MT.4096 0.258635275438 0.467 
BS en-cs newstest2015 commercial1.3987 0.282922436188 0.114 
BS en-cs newstest2015 online-A.0 0.263651922968 0.426 
BS en-cs newstest2015 online-B.0 0.261425126541 0.515 
BS en-cs newstest2015 tuning-task-AFRL 0.285496250264 -0.342 
BS en-cs newstest2015 tuning-task-DCU 0.284941475843 -0.342 
BS en-cs newstest2015 tuning-task-METEOR-CMU 0.289228065586 -0.563 
BS en-cs newstest2015 tuning-task-USAAR-Tuna-Saarland 0.285306116124 -0.373 
BS en-cs newstest2015 tuning-task-bleu-MERT 0.285442528407 -0.406 
BS en-cs newstest2015 tuning-task-bleu-MIRA-dense 0.28530223128 -0.346 
BS en-cs newstest2015 tuning-task-bleu-MIRA-sparse 0.290987743512 -0.808 
BS en-cs newstest2015 uedin-jhu-phrase.4069 0.255620872288 0.503 
BS en-cs newstest2015 uedin-syntax.3939 0.262249184786 0.261 
chrF3 en-cs newstest2015 commercial1.3987 41.4007 0.114 
chrF3 en-cs newstest2015 CU-Chimera.3992 48.2477 0.686 
chrF3 en-cs newstest2015 CU-TectoMT.3949 44.6025 0.209 
chrF3 en-cs newstest2015 Neural-MT.4096 46.1729 0.467 
chrF3 en-cs newstest2015 online-A.0 45.9344 0.426 
chrF3 en-cs newstest2015 online-B.0 47.6845 0.515 
chrF3 en-cs newstest2015 tuning-task-AFRL 39.1885 -0.342 
chrF3 en-cs newstest2015 tuning-task-bleu-MERT 38.9082 -0.406 
chrF3 en-cs newstest2015 tuning-task-bleu-MIRA-dense 39.2844 -0.346 
chrF3 en-cs newstest2015 tuning-task-bleu-MIRA-sparse 36.9464 -0.808 
chrF3 en-cs newstest2015 tuning-task-DCU 39.6388 -0.342 
chrF3 en-cs newstest2015 tuning-task-METEOR-CMU 37.8522 -0.563 
chrF3 en-cs newstest2015 tuning-task-USAAR-Tuna-Saarland 39.2003 -0.373 
chrF3 en-cs newstest2015 uedin-jhu-phrase.4069 48.2705 0.503 
chrF3 en-cs newstest2015 uedin-syntax.3939 45.9867 0.261 
chrF en-cs newstest2015 commercial1.3987 40.7342 0.114 
chrF en-cs newstest2015 CU-Chimera.3992 48.7541 0.686 
chrF en-cs newstest2015 CU-TectoMT.3949 44.864 0.209 
chrF en-cs newstest2015 Neural-MT.4096 46.8138 0.467 
chrF en-cs newstest2015 online-A.0 46.4773 0.426 
chrF en-cs newstest2015 online-B.0 47.428 0.515 
chrF en-cs newstest2015 tuning-task-AFRL 39.4144 -0.342 
chrF en-cs newstest2015 tuning-task-bleu-MERT 38.8216 -0.406 
chrF en-cs newstest2015 tuning-task-bleu-MIRA-dense 39.0768 -0.346 
chrF en-cs newstest2015 tuning-task-bleu-MIRA-sparse 36.8553 -0.808 
chrF en-cs newstest2015 tuning-task-DCU 39.0575 -0.342 
chrF en-cs newstest2015 tuning-task-METEOR-CMU 38.1214 -0.563 
chrF en-cs newstest2015 tuning-task-USAAR-Tuna-Saarland 38.9854 -0.373 
chrF en-cs newstest2015 uedin-jhu-phrase.4069 48.4021 0.503 
chrF en-cs newstest2015 uedin-syntax.3939 46.4162 0.261 
LeBLEU-default en-cs newstest2015 uedin-syntax.3939 0.526993 0.261 
LeBLEU-default en-cs newstest2015 commercial1.3987 0.460035 0.114 
LeBLEU-default en-cs newstest2015 CU-Chimera.3992 0.548591 0.686 
LeBLEU-default en-cs newstest2015 tuning-task-AFRL 0.462607 -0.342 
LeBLEU-default en-cs newstest2015 online-B.0 0.539273 0.515 
LeBLEU-default en-cs newstest2015 uedin-jhu-phrase.4069 0.554547 0.503 
LeBLEU-default en-cs newstest2015 CU-TectoMT.3949 0.512254 0.209 
LeBLEU-default en-cs newstest2015 tuning-task-DCU 0.452705 -0.342 
LeBLEU-default en-cs newstest2015 tuning-task-bleu-MERT 0.456676 -0.406 
LeBLEU-default en-cs newstest2015 tuning-task-bleu-MIRA-dense 0.459237 -0.346 
LeBLEU-default en-cs newstest2015 tuning-task-USAAR-Tuna-Saarland 0.457391 -0.373 
LeBLEU-default en-cs newstest2015 Neural-MT.4096 0.532172 0.467 
LeBLEU-default en-cs newstest2015 online-A.0 0.529692 0.426 
LeBLEU-default en-cs newstest2015 tuning-task-bleu-MIRA-sparse 0.429817 -0.808 
LeBLEU-default en-cs newstest2015 tuning-task-METEOR-CMU 0.44636 -0.563 
LeBLEU-optimized en-cs newstest2015 uedin-syntax.3939 0.572641 0.261 
LeBLEU-optimized en-cs newstest2015 commercial1.3987 0.518903 0.114 
