METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER en-de newstest2015 CIMS.4117 0.133551040562904 -0.035 
BEER en-de newstest2015 ExEx.4124 0.103328468556089 -0.501 
BEER en-de newstest2015 Illinois.4084 0.105484368142055 -0.4 
BEER en-de newstest2015 KIT.4019 0.1393701889463 -0.018 
BEER en-de newstest2015 LIMSI-KIT-Joint.4020 0.146748627262767 0.086 
BEER en-de newstest2015 Neural-MT.4079 0.154288742478212 0.334 
BEER en-de newstest2015 PROMT-Rule-based.3990 0.139764814383109 0.26 
BEER en-de newstest2015 dfki-experimental.4061 0.125643363790638 -0.133 
BEER en-de newstest2015 online-A.0 0.149514951001579 0.235 
BEER en-de newstest2015 online-B.0 0.153742265321835 0.148 
BEER en-de newstest2015 online-C.4165 0.120652988722559 -0.001 
BEER en-de newstest2015 online-E.0 0.10627786810572 -0.137 
BEER en-de newstest2015 online-F.0 0.119582142816288 0.003 
BEER en-de newstest2015 udsSant.4051 0.125444158819196 -0.235 
BEER en-de newstest2015 uedin-jhu-phrase.4072 0.14343214875322 0.036 
BEER en-de newstest2015 uedin-syntax.3866 0.16579137771783 0.359 
BS en-de newstest2015 CIMS.4117 0.246476669708 -0.035 
BS en-de newstest2015 ExEx.4124 0.263855850713 -0.501 
BS en-de newstest2015 Illinois.4084 0.257481926086 -0.4 
BS en-de newstest2015 KIT.4019 0.242136144105 -0.018 
BS en-de newstest2015 LIMSI-KIT-Joint.4020 0.239617916378 0.086 
BS en-de newstest2015 Neural-MT.4079 0.235911422891 0.334 
BS en-de newstest2015 PROMT-Rule-based.3990 0.253984481754 0.26 
BS en-de newstest2015 dfki-experimental.4061 0.254704457402 -0.133 
BS en-de newstest2015 online-A.0 0.243318383451 0.235 
BS en-de newstest2015 online-B.0 0.241799092501 0.148 
BS en-de newstest2015 online-C.4165 0.258627425249 -0.001 
BS en-de newstest2015 online-E.0 0.266772087315 -0.137 
BS en-de newstest2015 online-F.0 0.260216383883 0.003 
BS en-de newstest2015 udsSant.4051 0.255820728872 -0.235 
BS en-de newstest2015 uedin-jhu-phrase.4072 0.241793350465 0.036 
BS en-de newstest2015 uedin-syntax.3866 0.236860156648 0.359 
chrF3 en-de newstest2015 CIMS.4117 51.9121 -0.035 
chrF3 en-de newstest2015 dfki-experimental.4061 50.2914 -0.133 
chrF3 en-de newstest2015 ExEx.4124 47.6174 -0.501 
chrF3 en-de newstest2015 Illinois.4084 47.9808 -0.4 
chrF3 en-de newstest2015 KIT.4019 52.9741 -0.018 
chrF3 en-de newstest2015 LIMSI-KIT-Joint.4020 53.5649 0.086 
chrF3 en-de newstest2015 Neural-MT.4079 53.3561 0.334 
chrF3 en-de newstest2015 online-A.0 53.2215 0.235 
chrF3 en-de newstest2015 online-B.0 54.1413 0.148 
chrF3 en-de newstest2015 online-C.4165 49.756 -0.001 
chrF3 en-de newstest2015 online-E.0 47.8562 -0.137 
chrF3 en-de newstest2015 online-F.0 49.7596 0.003 
chrF3 en-de newstest2015 PROMT-Rule-based.3990 52.393 0.26 
chrF3 en-de newstest2015 udsSant.4051 49.9099 -0.235 
chrF3 en-de newstest2015 uedin-jhu-phrase.4072 53.2355 0.036 
chrF3 en-de newstest2015 uedin-syntax.3866 55.0363 0.359 
chrF en-de newstest2015 CIMS.4117 52.5615 -0.035 
chrF en-de newstest2015 dfki-experimental.4061 49.5709 -0.133 
chrF en-de newstest2015 ExEx.4124 47.4561 -0.501 
chrF en-de newstest2015 Illinois.4084 49.2779 -0.4 
chrF en-de newstest2015 KIT.4019 54.3039 -0.018 
chrF en-de newstest2015 LIMSI-KIT-Joint.4020 54.7788 0.086 
chrF en-de newstest2015 Neural-MT.4079 53.8919 0.334 
chrF en-de newstest2015 online-A.0 53.6986 0.235 
chrF en-de newstest2015 online-B.0 54.3702 0.148 
chrF en-de newstest2015 online-C.4165 49.1045 -0.001 
chrF en-de newstest2015 online-E.0 46.785 -0.137 
chrF en-de newstest2015 online-F.0 49.0435 0.003 
chrF en-de newstest2015 PROMT-Rule-based.3990 51.0672 0.26 
chrF en-de newstest2015 udsSant.4051 51.394 -0.235 
chrF en-de newstest2015 uedin-jhu-phrase.4072 53.8377 0.036 
chrF en-de newstest2015 uedin-syntax.3866 55.0974 0.359 
LeBLEU-default en-de newstest2015 KIT.4019 0.59185 -0.018 
LeBLEU-default en-de newstest2015 ExEx.4124 0.539246 -0.501 
LeBLEU-default en-de newstest2015 PROMT-Rule-based.3990 0.579882 0.26 
LeBLEU-default en-de newstest2015 online-B.0 0.611762 0.148 
LeBLEU-default en-de newstest2015 uedin-jhu-phrase.4072 0.599375 0.036 
LeBLEU-default en-de newstest2015 online-C.4165 0.565556 -0.001 
LeBLEU-default en-de newstest2015 Illinois.4084 0.544245 -0.4 
LeBLEU-default en-de newstest2015 online-A.0 0.603004 0.235 
LeBLEU-default en-de newstest2015 LIMSI-KIT-Joint.4020 0.599403 0.086 
LeBLEU-default en-de newstest2015 dfki-experimental.4061 0.563739 -0.133 
LeBLEU-default en-de newstest2015 online-F.0 0.565461 0.003 
LeBLEU-default en-de newstest2015 CIMS.4117 0.589465 -0.035 
LeBLEU-default en-de newstest2015 uedin-syntax.3866 0.621564 0.359 
LeBLEU-default en-de newstest2015 udsSant.4051 0.534617 -0.235 
LeBLEU-default en-de newstest2015 Neural-MT.4079 0.610442 0.334 
LeBLEU-default en-de newstest2015 online-E.0 0.538601 -0.137 
LeBLEU-optimized en-de newstest2015 KIT.4019 0.633676 -0.018 
LeBLEU-optimized en-de newstest2015 ExEx.4124 0.607607 -0.501 
LeBLEU-optimized en-de newstest2015 PROMT-Rule-based.3990 0.637178 0.26 
LeBLEU-optimized en-de newstest2015 online-B.0 0.659661 0.148 
LeBLEU-optimized en-de newstest2015 uedin-jhu-phrase.4072 0.648176 0.036 
LeBLEU-optimized en-de newstest2015 online-C.4165 0.626251 -0.001 
LeBLEU-optimized en-de newstest2015 Illinois.4084 0.597227 -0.4 
LeBLEU-optimized en-de newstest2015 online-A.0 0.650297 0.235 
LeBLEU-optimized en-de newstest2015 LIMSI-KIT-Joint.4020 0.640943 0.086 
LeBLEU-optimized en-de newstest2015 dfki-experimental.4061 0.626018 -0.133 
LeBLEU-optimized en-de newstest2015 online-F.0 0.625812 0.003 
LeBLEU-optimized en-de newstest2015 CIMS.4117 0.639781 -0.035 
LeBLEU-optimized en-de newstest2015 uedin-syntax.3866 0.669788 0.359 
LeBLEU-optimized en-de newstest2015 udsSant.4051 0.591187 -0.235 
LeBLEU-optimized en-de newstest2015 Neural-MT.4079 0.658194 0.334 
LeBLEU-optimized en-de newstest2015 online-E.0 0.60509 -0.137 
METEOR-WSD en-de newstest2015 Neural-MT.4079 0.614241530272 0.334 
METEOR-WSD en-de newstest2015 Illinois.4084 0.598802553465 -0.4 
