METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER en-fi newstest2015 AaltoMorphsRescored.3904 0.0885968736435681 -0.143 
BEER en-fi newstest2015 CMU.4075 0.0810859218007432 -0.342 
BEER en-fi newstest2015 GF-Wide-coverage-system.4129 0.0626106196951053 -0.929 
BEER en-fi newstest2015 UU-unconstrained.3946 0.109375700710444 0.21 
BEER en-fi newstest2015 abumatran-combo.4018 0.0938787524244096 -0.059 
BEER en-fi newstest2015 abumatran-uncons-combo.4121 0.115387061657236 0.042 
BEER en-fi newstest2015 abumatran-uncons.4116 0.11618401182515 -0.212 
BEER en-fi newstest2015 online-A.0 0.104956523620029 0.548 
BEER en-fi newstest2015 online-B.0 0.125260365603032 1.069 
BEER en-fi newstest2015 uedin-syntax.3940 0.0893161333653241 -0.184 
BS en-fi newstest2015 AaltoMorphsRescored.3904 0.280382953133 -0.143 
BS en-fi newstest2015 CMU.4075 0.278879925453 -0.342 
BS en-fi newstest2015 GF-Wide-coverage-system.4129 0.262868341492 -0.929 
BS en-fi newstest2015 UU-unconstrained.3946 0.273232838717 0.21 
BS en-fi newstest2015 abumatran-combo.4018 0.277496229686 -0.059 
BS en-fi newstest2015 abumatran-uncons-combo.4121 0.268800690838 0.042 
BS en-fi newstest2015 abumatran-uncons.4116 0.267205994415 -0.212 
BS en-fi newstest2015 online-A.0 0.27871405941 0.548 
BS en-fi newstest2015 online-B.0 0.273553858511 1.069 
BS en-fi newstest2015 uedin-syntax.3940 0.27942822467 -0.184 
chrF3 en-fi newstest2015 AaltoMorphsRescored.3904 44.9561 -0.143 
chrF3 en-fi newstest2015 abumatran-combo.4018 45.2557 -0.059 
chrF3 en-fi newstest2015 abumatran-uncons.4116 46.5388 -0.212 
chrF3 en-fi newstest2015 abumatran-uncons-combo.4121 46.8912 0.042 
chrF3 en-fi newstest2015 CMU.4075 42.4533 -0.342 
chrF3 en-fi newstest2015 GF-Wide-coverage-system.4129 38.224 -0.929 
chrF3 en-fi newstest2015 online-A.0 46.4959 0.548 
chrF3 en-fi newstest2015 online-B.0 49.4507 1.069 
chrF3 en-fi newstest2015 uedin-syntax.3940 44.9196 -0.184 
chrF3 en-fi newstest2015 UU-unconstrained.3946 45.8223 0.21 
chrF en-fi newstest2015 AaltoMorphsRescored.3904 47.1624 -0.143 
chrF en-fi newstest2015 abumatran-combo.4018 47.2701 -0.059 
chrF en-fi newstest2015 abumatran-uncons.4116 47.2171 -0.212 
chrF en-fi newstest2015 abumatran-uncons-combo.4121 48.8704 0.042 
chrF en-fi newstest2015 CMU.4075 45.7641 -0.342 
chrF en-fi newstest2015 GF-Wide-coverage-system.4129 38.0273 -0.929 
chrF en-fi newstest2015 online-A.0 48.3414 0.548 
chrF en-fi newstest2015 online-B.0 50.6829 1.069 
chrF en-fi newstest2015 uedin-syntax.3940 47.0459 -0.184 
chrF en-fi newstest2015 UU-unconstrained.3946 47.7215 0.21 
LeBLEU-default en-fi newstest2015 online-B.0 0.506474 1.069 
LeBLEU-default en-fi newstest2015 AaltoMorphsRescored.3904 0.449873 -0.143 
LeBLEU-default en-fi newstest2015 abumatran-combo.4018 0.457706 -0.059 
LeBLEU-default en-fi newstest2015 GF-Wide-coverage-system.4129 0.327658 -0.929 
LeBLEU-default en-fi newstest2015 abumatran-uncons-combo.4121 0.472533 0.042 
LeBLEU-default en-fi newstest2015 abumatran-uncons.4116 0.473607 -0.212 
LeBLEU-default en-fi newstest2015 UU-unconstrained.3946 0.464477 0.21 
LeBLEU-default en-fi newstest2015 online-A.0 0.47219 0.548 
LeBLEU-default en-fi newstest2015 CMU.4075 0.416591 -0.342 
LeBLEU-default en-fi newstest2015 uedin-syntax.3940 0.457546 -0.184 
LeBLEU-optimized en-fi newstest2015 online-B.0 0.569748 1.069 
LeBLEU-optimized en-fi newstest2015 AaltoMorphsRescored.3904 0.51632 -0.143 
LeBLEU-optimized en-fi newstest2015 abumatran-combo.4018 0.525459 -0.059 
LeBLEU-optimized en-fi newstest2015 GF-Wide-coverage-system.4129 0.445824 -0.929 
LeBLEU-optimized en-fi newstest2015 abumatran-uncons-combo.4121 0.540019 0.042 
LeBLEU-optimized en-fi newstest2015 abumatran-uncons.4116 0.557942 -0.212 
LeBLEU-optimized en-fi newstest2015 UU-unconstrained.3946 0.533539 0.21 
LeBLEU-optimized en-fi newstest2015 online-A.0 0.53746 0.548 
LeBLEU-optimized en-fi newstest2015 CMU.4075 0.478665 -0.342 
LeBLEU-optimized en-fi newstest2015 uedin-syntax.3940 0.52349 -0.184 
METEOR-WSD en-fi newstest2015 abumatran-uncons.4116 0.600295804451 -0.212 
METEOR-WSD en-fi newstest2015 abumatran-uncons-combo.4121 0.601290559271 0.042 
METEOR-WSD en-fi newstest2015 abumatran-combo.4018 0.594725931151 -0.059 
METEOR-WSD en-fi newstest2015 CMU.4075 0.592157568273 -0.342 
METEOR-WSD en-fi newstest2015 online-B.0 0.603911408955 1.069 
METEOR-WSD en-fi newstest2015 online-A.0 0.595965349618 0.548 
METEOR-WSD en-fi newstest2015 AaltoMorphsRescored.3904 0.590541395634 -0.143 
METEOR-WSD en-fi newstest2015 uedin-syntax.3940 0.594367088004 -0.184 
METEOR-WSD en-fi newstest2015 UU-unconstrained.3946 0.599841090445 0.21 
METEOR-WSD en-fi newstest2015 GF-Wide-coverage-system.4129 0.567519462318 -0.929 
RATATOUILLE en-fi newstest2015 abumatran-uncons.4116 0.894054841716 -0.212 
RATATOUILLE en-fi newstest2015 abumatran-uncons-combo.4121 0.896412079975 0.042 
RATATOUILLE en-fi newstest2015 abumatran-combo.4018 0.888958229893 -0.059 
RATATOUILLE en-fi newstest2015 CMU.4075 0.879910057613 -0.342 
RATATOUILLE en-fi newstest2015 online-B.0 0.909307569583 1.069 
RATATOUILLE en-fi newstest2015 online-A.0 0.8932650149 0.548 
RATATOUILLE en-fi newstest2015 AaltoMorphsRescored.3904 0.882726519269 -0.143 
RATATOUILLE en-fi newstest2015 uedin-syntax.3940 0.888873975655 -0.184 
RATATOUILLE en-fi newstest2015 UU-unconstrained.3946 0.896631607824 0.21 
RATATOUILLE en-fi newstest2015 GF-Wide-coverage-system.4129 0.798022329852 -0.929 
Dreem en-fi newstest2015 AaltoMorphsRescored.3904 0.07439001 -0.143 
Dreem en-fi newstest2015 abumatran-combo.4018 0.09410432 -0.059 
Dreem en-fi newstest2015 abumatran-uncons.4116 0.3823978 -0.212 
Dreem en-fi newstest2015 abumatran-uncons-combo.4121 0.31380536 0.042 
Dreem en-fi newstest2015 CMU.4075 0.09769769 -0.342 
