METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER en-fr newsdiscusstest2015 CIMS-FR.4056 0.21476030931193 -0.001 
BEER en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.236335825012948 0.54 
BEER en-fr newsdiscusstest2015 online-A.0 0.228731852449933 0.304 
BEER en-fr newsdiscusstest2015 online-B.0 0.222998201095593 0.215 
BEER en-fr newsdiscusstest2015 online-E.0 0.164685469309587 -0.977 
BEER en-fr newsdiscusstest2015 online-F.0 0.177420145263113 -0.338 
BEER en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.232876048617481 0.258 
BS en-fr newsdiscusstest2015 CIMS-FR.4056 0.219664247115 -0.001 
BS en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.207765491923 0.54 
BS en-fr newsdiscusstest2015 online-A.0 0.212654883324 0.304 
BS en-fr newsdiscusstest2015 online-B.0 0.213914058834 0.215 
BS en-fr newsdiscusstest2015 online-E.0 0.236262708431 -0.977 
BS en-fr newsdiscusstest2015 online-F.0 0.231342524283 -0.338 
BS en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.210121981683 0.258 
chrF3 en-fr newsdiscusstest2015 CIMS-FR.4056 59.2931 -0.001 
chrF3 en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 60.4087 0.54 
chrF3 en-fr newsdiscusstest2015 online-A.0 59.8977 0.304 
chrF3 en-fr newsdiscusstest2015 online-B.0 61.4226 0.215 
chrF3 en-fr newsdiscusstest2015 online-E.0 53.8491 -0.977 
chrF3 en-fr newsdiscusstest2015 online-F.0 55.6081 -0.338 
chrF3 en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 60.5223 0.258 
chrF en-fr newsdiscusstest2015 CIMS-FR.4056 59.1185 -0.001 
chrF en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 60.5974 0.54 
chrF en-fr newsdiscusstest2015 online-A.0 59.6106 0.304 
chrF en-fr newsdiscusstest2015 online-B.0 60.9664 0.215 
chrF en-fr newsdiscusstest2015 online-E.0 53.3241 -0.977 
chrF en-fr newsdiscusstest2015 online-F.0 54.5889 -0.338 
chrF en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 60.7984 0.258 
LeBLEU-default en-fr newsdiscusstest2015 online-A.0 0.685756 0.304 
LeBLEU-default en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.693147 0.258 
LeBLEU-default en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.692799 0.54 
LeBLEU-default en-fr newsdiscusstest2015 online-E.0 0.630841 -0.977 
LeBLEU-default en-fr newsdiscusstest2015 online-B.0 0.691651 0.215 
LeBLEU-default en-fr newsdiscusstest2015 CIMS-FR.4056 0.680812 -0.001 
LeBLEU-default en-fr newsdiscusstest2015 online-F.0 0.639298 -0.338 
LeBLEU-optimized en-fr newsdiscusstest2015 online-A.0 0.685756 0.304 
LeBLEU-optimized en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.693147 0.258 
LeBLEU-optimized en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.692799 0.54 
LeBLEU-optimized en-fr newsdiscusstest2015 online-E.0 0.630841 -0.977 
LeBLEU-optimized en-fr newsdiscusstest2015 online-B.0 0.691651 0.215 
LeBLEU-optimized en-fr newsdiscusstest2015 CIMS-FR.4056 0.680812 -0.001 
LeBLEU-optimized en-fr newsdiscusstest2015 online-F.0 0.639298 -0.338 
METEOR-WSD en-fr newstest2015 uedin-jhu-phrase.4104 0.638641811294 0.258 
METEOR-WSD en-fr newstest2015 online-F.0 0.625967824602 -0.338 
METEOR-WSD en-fr newstest2015 online-E.0 0.621075580891 -0.977 
METEOR-WSD en-fr newstest2015 CIMS-FR.4056 0.636838114109 -0.001 
METEOR-WSD en-fr newstest2015 online-A.0 0.638362569619 0.304 
METEOR-WSD en-fr newstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.639338553617 0.54 
METEOR-WSD en-fr newstest2015 online-B.0 0.637498870036 0.215 
RATATOUILLE en-fr newstest2015 uedin-jhu-phrase.4104 0.931634272091 0.258 
RATATOUILLE en-fr newstest2015 online-F.0 0.911388929158 -0.338 
RATATOUILLE en-fr newstest2015 online-E.0 0.904436526291 -0.977 
RATATOUILLE en-fr newstest2015 CIMS-FR.4056 0.927334353625 -0.001 
RATATOUILLE en-fr newstest2015 online-A.0 0.930960849456 0.304 
RATATOUILLE en-fr newstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.931846523351 0.54 
RATATOUILLE en-fr newstest2015 online-B.0 0.93069153005 0.215 
Dreem en-fr newsdiscusstest2015 CIMS-FR.4056 0.93138667 -0.001 
Dreem en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.9312231 0.54 
Dreem en-fr newsdiscusstest2015 online-A.0 0.90469861 0.304 
Dreem en-fr newsdiscusstest2015 online-B.0 0.79955691 0.215 
Dreem en-fr newsdiscusstest2015 online-E.0 0.43780933 -0.977 
Dreem en-fr newsdiscusstest2015 online-F.0 0.44064565 -0.338 
Dreem en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.88066204 0.258 
CDER en-fr newsdiscusstest2015 CIMS-FR.4056 0.5272 -0.001 
CDER en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.5448 0.54 
CDER en-fr newsdiscusstest2015 online-A.0 0.5338 0.304 
CDER en-fr newsdiscusstest2015 online-B.0 0.5382 0.215 
CDER en-fr newsdiscusstest2015 online-E.0 0.4594 -0.977 
CDER en-fr newsdiscusstest2015 online-F.0 0.4798 -0.338 
CDER en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.5479 0.258 
NIST en-fr newsdiscusstest2015 CIMS-FR.4056 7.7364 -0.001 
NIST en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 8.1044 0.54 
NIST en-fr newsdiscusstest2015 online-A.0 7.8921 0.304 
NIST en-fr newsdiscusstest2015 online-B.0 8.0169 0.215 
NIST en-fr newsdiscusstest2015 online-E.0 6.7842 -0.977 
NIST en-fr newsdiscusstest2015 online-F.0 7.0475 -0.338 
NIST en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 8.1421 0.258 
BLEU en-fr newsdiscusstest2015 CIMS-FR.4056 0.3545 -0.001 
BLEU en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.3734 0.54 
BLEU en-fr newsdiscusstest2015 online-A.0 0.3577 0.304 
BLEU en-fr newsdiscusstest2015 online-B.0 0.3651 0.215 
BLEU en-fr newsdiscusstest2015 online-E.0 0.2701 -0.977 
BLEU en-fr newsdiscusstest2015 online-F.0 0.2922 -0.338 
BLEU en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.3741 0.258 
PER en-fr newsdiscusstest2015 CIMS-FR.4056 0.6187 -0.001 
PER en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.6303 0.54 
PER en-fr newsdiscusstest2015 online-A.0 0.6242 0.304 
PER en-fr newsdiscusstest2015 online-B.0 0.6283 0.215 
PER en-fr newsdiscusstest2015 online-E.0 0.5667 -0.977 
PER en-fr newsdiscusstest2015 online-F.0 0.5793 -0.338 
PER en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.6267 0.258 
TER en-fr newsdiscusstest2015 CIMS-FR.4056 0.4994 -0.001 
TER en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.5256 0.54 
TER en-fr newsdiscusstest2015 online-A.0 0.5093 0.304 
TER en-fr newsdiscusstest2015 online-B.0 0.5122 0.215 
TER en-fr newsdiscusstest2015 online-E.0 0.4332 -0.977 
TER en-fr newsdiscusstest2015 online-F.0 0.452 -0.338 
TER en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.5304 0.258 
WER en-fr newsdiscusstest2015 CIMS-FR.4056 0.4838 -0.001 
WER en-fr newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.4000 0.5106 0.54 
WER en-fr newsdiscusstest2015 online-A.0 0.4928 0.304 
WER en-fr newsdiscusstest2015 online-B.0 0.4984 0.215 
WER en-fr newsdiscusstest2015 online-E.0 0.4183 -0.977 
WER en-fr newsdiscusstest2015 online-F.0 0.4362 -0.338 
WER en-fr newsdiscusstest2015 uedin-jhu-phrase.4104 0.5178 0.258 
