METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER en-ru newstest2015 LIMSI-NCode-SOUL.3996 0.161633381970726 0.122 
BEER en-ru newstest2015 PROMT-Rule-based.3991 0.19539576628668 1.015 
BEER en-ru newstest2015 USAAR-gacha.3962 0.139151583790769 -0.333 
BEER en-ru newstest2015 USAAR-gacha.4108 0.139937849772913 -0.276 
BEER en-ru newstest2015 online-A.0 0.153748033394739 0.075 
BEER en-ru newstest2015 online-B.0 0.169523700342507 0.217 
BEER en-ru newstest2015 online-F.0 0.0766609556423129 -1.218 
BEER en-ru newstest2015 online-G.0 0.183979783361124 0.521 
BEER en-ru newstest2015 uedin-jhu-phrase.4144 0.163366794423821 0.014 
BEER en-ru newstest2015 uedin-syntax.3938 0.157216628206575 -0.138 
BS en-ru newstest2015 LIMSI-NCode-SOUL.3996 0.241477484286 0.122 
BS en-ru newstest2015 PROMT-Rule-based.3991 0.239127990528 1.015 
BS en-ru newstest2015 USAAR-gacha.3962 0.248811193805 -0.333 
BS en-ru newstest2015 USAAR-gacha.4108 0.249276643149 -0.276 
BS en-ru newstest2015 online-A.0 0.249917180092 0.075 
BS en-ru newstest2015 online-B.0 0.241072532434 0.217 
BS en-ru newstest2015 online-F.0 0.281854348873 -1.218 
BS en-ru newstest2015 online-G.0 0.240004025428 0.521 
BS en-ru newstest2015 uedin-jhu-phrase.4144 0.241551231056 0.014 
BS en-ru newstest2015 uedin-syntax.3938 0.243448076193 -0.138 
chrF3 en-ru newstest2015 LIMSI-NCode-SOUL.3996 52.8222 0.122 
chrF3 en-ru newstest2015 online-A.0 51.8572 0.075 
chrF3 en-ru newstest2015 online-B.0 54.2877 0.217 
chrF3 en-ru newstest2015 online-F.0 41.9552 -1.218 
chrF3 en-ru newstest2015 online-G.0 54.9902 0.521 
chrF3 en-ru newstest2015 PROMT-Rule-based.3991 56.4063 1.015 
chrF3 en-ru newstest2015 uedin-jhu-phrase.4144 53.8392 0.014 
chrF3 en-ru newstest2015 uedin-syntax.3938 52.3755 -0.138 
chrF3 en-ru newstest2015 USAAR-gacha.3962 50.1013 -0.333 
chrF3 en-ru newstest2015 USAAR-gacha.4108 50.3188 -0.276 
chrF en-ru newstest2015 LIMSI-NCode-SOUL.3996 52.7129 0.122 
chrF en-ru newstest2015 online-A.0 51.6111 0.075 
chrF en-ru newstest2015 online-B.0 53.8308 0.217 
chrF en-ru newstest2015 online-F.0 41.1856 -1.218 
chrF en-ru newstest2015 online-G.0 54.4583 0.521 
chrF en-ru newstest2015 PROMT-Rule-based.3991 55.2733 1.015 
chrF en-ru newstest2015 uedin-jhu-phrase.4144 53.4747 0.014 
chrF en-ru newstest2015 uedin-syntax.3938 52.5492 -0.138 
chrF en-ru newstest2015 USAAR-gacha.3962 50.327 -0.333 
chrF en-ru newstest2015 USAAR-gacha.4108 50.2603 -0.276 
LeBLEU-default en-ru newstest2015 online-G.0 0.60627 0.521 
LeBLEU-default en-ru newstest2015 PROMT-Rule-based.3991 0.609285 1.015 
LeBLEU-default en-ru newstest2015 online-A.0 0.58082 0.075 
LeBLEU-default en-ru newstest2015 uedin-syntax.3938 0.58967 -0.138 
LeBLEU-default en-ru newstest2015 USAAR-gacha.4108 0.558026 -0.276 
LeBLEU-default en-ru newstest2015 uedin-jhu-phrase.4144 0.595964 0.014 
LeBLEU-default en-ru newstest2015 online-F.0 0.456603 -1.218 
LeBLEU-default en-ru newstest2015 USAAR-gacha.3962 0.559221 -0.333 
LeBLEU-default en-ru newstest2015 LIMSI-NCode-SOUL.3996 0.585527 0.122 
LeBLEU-default en-ru newstest2015 online-B.0 0.596702 0.217 
LeBLEU-optimized en-ru newstest2015 online-G.0 0.689229 0.521 
LeBLEU-optimized en-ru newstest2015 PROMT-Rule-based.3991 0.690597 1.015 
LeBLEU-optimized en-ru newstest2015 online-A.0 0.667914 0.075 
LeBLEU-optimized en-ru newstest2015 uedin-syntax.3938 0.672961 -0.138 
LeBLEU-optimized en-ru newstest2015 USAAR-gacha.4108 0.647846 -0.276 
LeBLEU-optimized en-ru newstest2015 uedin-jhu-phrase.4144 0.678274 0.014 
LeBLEU-optimized en-ru newstest2015 online-F.0 0.572977 -1.218 
LeBLEU-optimized en-ru newstest2015 USAAR-gacha.3962 0.648311 -0.333 
LeBLEU-optimized en-ru newstest2015 LIMSI-NCode-SOUL.3996 0.671023 0.122 
LeBLEU-optimized en-ru newstest2015 online-B.0 0.680758 0.217 
METEOR-WSD en-ru newstest2015 online-B.0 0.637823333737 0.217 
METEOR-WSD en-ru newstest2015 uedin-syntax.3938 0.634043497087 -0.138 
