METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER fi-en newstest2015 Illinois.3955 0.0819717720038328 0.081 
BEER fi-en newstest2015 LIMSI.4021 0.0607495434958971 -0.438 
BEER fi-en newstest2015 Neural-MT.4062 0.0617350420333443 -0.177 
BEER fi-en newstest2015 PROMT-SMT.3989 0.0978224293681471 0.28 
BEER fi-en newstest2015 UU-unconstrained.3977 0.0950315029048148 0.236 
BEER fi-en newstest2015 UoS-stemmed.4135 0.0611298300440717 -0.52 
BEER fi-en newstest2015 UoS.4059 0.0611041311448549 -0.513 
BEER fi-en newstest2015 abumatran-combo.4010 0.0893837310974303 0.16 
BEER fi-en newstest2015 abumatran-hfstmorph.4007 0.0816139647503016 -0.081 
BEER fi-en newstest2015 abumatran.3931 0.0735206844169659 -0.275 
BEER fi-en newstest2015 online-A.0 0.0952681728488553 0.246 
BEER fi-en newstest2015 online-B.0 0.117549139268462 0.675 
BEER fi-en newstest2015 uedin-jhu-phrase.4106 0.0975332727118909 0.182 
BEER fi-en newstest2015 uedin-syntax.4006 0.0938877223142672 0.144 
BEER_Treepel fi-en newstest2015 Illinois.3955 0.0720369216192489 0.081 
BEER_Treepel fi-en newstest2015 LIMSI.4021 0.0534007982518706 -0.438 
BEER_Treepel fi-en newstest2015 Neural-MT.4062 0.0547974085524309 -0.177 
BEER_Treepel fi-en newstest2015 PROMT-SMT.3989 0.084482445465218 0.28 
BEER_Treepel fi-en newstest2015 UU-unconstrained.3977 0.0805019108948067 0.236 
BEER_Treepel fi-en newstest2015 UoS-stemmed.4135 0.0513349537502105 -0.52 
BEER_Treepel fi-en newstest2015 UoS.4059 0.0512876016315559 -0.513 
BEER_Treepel fi-en newstest2015 abumatran-combo.4010 0.0776538723561325 0.16 
BEER_Treepel fi-en newstest2015 abumatran-hfstmorph.4007 0.0695091700365797 -0.081 
BEER_Treepel fi-en newstest2015 abumatran.3931 0.0652088451190375 -0.275 
BEER_Treepel fi-en newstest2015 online-A.0 0.0831184565339177 0.246 
BEER_Treepel fi-en newstest2015 online-B.0 0.102577705876208 0.675 
BEER_Treepel fi-en newstest2015 uedin-jhu-phrase.4106 0.0851626994837265 0.182 
BEER_Treepel fi-en newstest2015 uedin-syntax.4006 0.0818661745351139 0.144 
BS fi-en newstest2015 Illinois.3955 0.26081771435 0.081 
BS fi-en newstest2015 LIMSI.4021 0.268681904016 -0.438 
BS fi-en newstest2015 Neural-MT.4062 0.264960657988 -0.177 
BS fi-en newstest2015 PROMT-SMT.3989 0.252859539152 0.28 
BS fi-en newstest2015 UU-unconstrained.3977 0.253086381791 0.236 
BS fi-en newstest2015 UoS-stemmed.4135 0.267192633122 -0.52 
BS fi-en newstest2015 UoS.4059 0.267315109189 -0.513 
BS fi-en newstest2015 abumatran-combo.4010 0.253879688374 0.16 
BS fi-en newstest2015 abumatran-hfstmorph.4007 0.25932613913 -0.081 
BS fi-en newstest2015 abumatran.3931 0.257746029583 -0.275 
BS fi-en newstest2015 online-A.0 0.254361631995 0.246 
BS fi-en newstest2015 online-B.0 0.245282601778 0.675 
BS fi-en newstest2015 uedin-jhu-phrase.4106 0.249771278001 0.182 
BS fi-en newstest2015 uedin-syntax.4006 0.252762330448 0.144 
chrF3 fi-en newstest2015 abumatran.3931 44.3859 -0.275 
chrF3 fi-en newstest2015 abumatran-combo.4010 47.1542 0.16 
chrF3 fi-en newstest2015 abumatran-hfstmorph.4007 46.5101 -0.081 
chrF3 fi-en newstest2015 Illinois.3955 46.4647 0.081 
chrF3 fi-en newstest2015 LIMSI.4021 41.4133 -0.438 
chrF3 fi-en newstest2015 Neural-MT.4062 40.2517 -0.177 
chrF3 fi-en newstest2015 online-A.0 48.5809 0.246 
chrF3 fi-en newstest2015 online-B.0 51.0171 0.675 
chrF3 fi-en newstest2015 PROMT-SMT.3989 48.3775 0.28 
chrF3 fi-en newstest2015 uedin-jhu-phrase.4106 48.3398 0.182 
chrF3 fi-en newstest2015 uedin-syntax.4006 47.7837 0.144 
chrF3 fi-en newstest2015 UoS.4059 42.4381 -0.513 
chrF3 fi-en newstest2015 UoS-stemmed.4135 42.7057 -0.52 
chrF3 fi-en newstest2015 UU-unconstrained.3977 47.753 0.236 
chrF fi-en newstest2015 abumatran.3931 43.5271 -0.275 
chrF fi-en newstest2015 abumatran-combo.4010 47.2263 0.16 
chrF fi-en newstest2015 abumatran-hfstmorph.4007 45.7331 -0.081 
chrF fi-en newstest2015 Illinois.3955 46.6204 0.081 
chrF fi-en newstest2015 LIMSI.4021 41.5484 -0.438 
chrF fi-en newstest2015 Neural-MT.4062 41.5051 -0.177 
chrF fi-en newstest2015 online-A.0 47.6791 0.246 
chrF fi-en newstest2015 online-B.0 51.1151 0.675 
chrF fi-en newstest2015 PROMT-SMT.3989 48.3148 0.28 
chrF fi-en newstest2015 uedin-jhu-phrase.4106 47.9683 0.182 
chrF fi-en newstest2015 uedin-syntax.4006 47.9713 0.144 
chrF fi-en newstest2015 UoS.4059 42.3625 -0.513 
chrF fi-en newstest2015 UoS-stemmed.4135 42.6305 -0.52 
chrF fi-en newstest2015 UU-unconstrained.3977 48.2079 0.236 
DPMFcomb fi-en newstest2015 abumatran.3931 12.1056742594 -0.275 
DPMFcomb fi-en newstest2015 abumatran-combo.4010 12.4606988762 0.16 
DPMFcomb fi-en newstest2015 abumatran-hfstmorph.4007 12.3496793684 -0.081 
DPMFcomb fi-en newstest2015 Illinois.3955 12.3544622121 0.081 
DPMFcomb fi-en newstest2015 LIMSI.4021 11.8036454959 -0.438 
DPMFcomb fi-en newstest2015 Neural-MT.4062 11.9465331347 -0.177 
DPMFcomb fi-en newstest2015 online-A.0 12.5818701962 0.246 
DPMFcomb fi-en newstest2015 online-B.0 12.8903482634 0.675 
DPMFcomb fi-en newstest2015 PROMT-SMT.3989 12.6207244191 0.28 
DPMFcomb fi-en newstest2015 uedin-jhu-phrase.4106 12.6109011456 0.182 
DPMFcomb fi-en newstest2015 uedin-syntax.4006 12.5350043486 0.144 
DPMFcomb fi-en newstest2015 UoS.4059 11.9388866988 -0.513 
DPMFcomb fi-en newstest2015 UoS-stemmed.4135 11.9521932777 -0.52 
DPMFcomb fi-en newstest2015 UU-unconstrained.3977 12.6108375781 0.236 
DPMF fi-en newstest2015 UoS.4059 0.127900296812 -0.513 
DPMF fi-en newstest2015 uedin-jhu-phrase.4106 0.156675453318 0.182 
DPMF fi-en newstest2015 abumatran.3931 0.13649133062 -0.275 
DPMF fi-en newstest2015 Illinois.3955 0.14527425897 0.081 
DPMF fi-en newstest2015 online-B.0 0.170934346967 0.675 
DPMF fi-en newstest2015 PROMT-SMT.3989 0.158941277591 0.28 
DPMF fi-en newstest2015 UU-unconstrained.3977 0.156412094281 0.236 
DPMF fi-en newstest2015 Neural-MT.4062 0.1254391832 -0.177 
DPMF fi-en newstest2015 abumatran-combo.4010 0.14893334801 0.16 
DPMF fi-en newstest2015 UoS-stemmed.4135 0.128196086532 -0.52 
DPMF fi-en newstest2015 uedin-syntax.4006 0.154264691508 0.144 
DPMF fi-en newstest2015 online-A.0 0.157471393663 0.246 
DPMF fi-en newstest2015 abumatran-hfstmorph.4007 0.141613603559 -0.081 
DPMF fi-en newstest2015 LIMSI.4021 0.122157652268 -0.438 
LeBLEU-default fi-en newstest2015 UU-unconstrained.3977 0.565927 0.236 
LeBLEU-default fi-en newstest2015 online-B.0 0.593389 0.675 
LeBLEU-default fi-en newstest2015 PROMT-SMT.3989 0.568735 0.28 
LeBLEU-default fi-en newstest2015 UoS.4059 0.514776 -0.513 
LeBLEU-default fi-en newstest2015 abumatran.3931 0.521859 -0.275 
LeBLEU-default fi-en newstest2015 abumatran-hfstmorph.4007 0.530373 -0.081 
LeBLEU-default fi-en newstest2015 uedin-jhu-phrase.4106 0.571398 0.182 
LeBLEU-default fi-en newstest2015 online-A.0 0.5565 0.246 
LeBLEU-default fi-en newstest2015 uedin-syntax.4006 0.558676 0.144 
LeBLEU-default fi-en newstest2015 LIMSI.4021 0.492471 -0.438 
LeBLEU-default fi-en newstest2015 Illinois.3955 0.547647 0.081 
LeBLEU-default fi-en newstest2015 Neural-MT.4062 0.491208 -0.177 
LeBLEU-default fi-en newstest2015 abumatran-combo.4010 0.55944 0.16 
LeBLEU-default fi-en newstest2015 UoS-stemmed.4135 0.516693 -0.52 
LeBLEU-optimized fi-en newstest2015 UU-unconstrained.3977 0.565927 0.236 
LeBLEU-optimized fi-en newstest2015 online-B.0 0.593389 0.675 
LeBLEU-optimized fi-en newstest2015 PROMT-SMT.3989 0.568735 0.28 
LeBLEU-optimized fi-en newstest2015 UoS.4059 0.514776 -0.513 
LeBLEU-optimized fi-en newstest2015 abumatran.3931 0.521859 -0.275 
LeBLEU-optimized fi-en newstest2015 abumatran-hfstmorph.4007 0.530373 -0.081 
LeBLEU-optimized fi-en newstest2015 uedin-jhu-phrase.4106 0.571398 0.182 
LeBLEU-optimized fi-en newstest2015 online-A.0 0.5565 0.246 
