METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 0.20588738568203 0.446 
BEER fr-en newsdiscusstest2015 UM-nDA.4036 0.20349579921536 0.275 
BEER fr-en newsdiscusstest2015 online-A.0 0.198190844883252 0.223 
BEER fr-en newsdiscusstest2015 online-B.0 0.198421672056051 0.498 
BEER fr-en newsdiscusstest2015 online-E.0 0.139439038098597 -1.434 
BEER fr-en newsdiscusstest2015 online-F.0 0.165758444008212 -0.423 
BEER fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 0.206106930395366 0.415 
BEER_Treepel fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 0.19353070812397 0.446 
BEER_Treepel fr-en newsdiscusstest2015 UM-nDA.4036 0.190272596434516 0.275 
BEER_Treepel fr-en newsdiscusstest2015 online-A.0 0.184980362959267 0.223 
BEER_Treepel fr-en newsdiscusstest2015 online-B.0 0.18608525106248 0.498 
BEER_Treepel fr-en newsdiscusstest2015 online-E.0 0.125662758067337 -1.434 
BEER_Treepel fr-en newsdiscusstest2015 online-F.0 0.152047680208701 -0.423 
BEER_Treepel fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 0.19227542636825 0.415 
BS fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 0.210163225856 0.446 
BS fr-en newsdiscusstest2015 UM-nDA.4036 0.21206506609 0.275 
BS fr-en newsdiscusstest2015 online-A.0 0.215783482791 0.223 
BS fr-en newsdiscusstest2015 online-B.0 0.211337243406 0.498 
BS fr-en newsdiscusstest2015 online-E.0 0.239393184659 -1.434 
BS fr-en newsdiscusstest2015 online-F.0 0.228287084485 -0.423 
BS fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 0.210271792648 0.415 
chrF3 fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 57.8432 0.446 
chrF3 fr-en newsdiscusstest2015 online-A.0 56.5561 0.223 
chrF3 fr-en newsdiscusstest2015 online-B.0 57.1879 0.498 
chrF3 fr-en newsdiscusstest2015 online-E.0 51.8254 -1.434 
chrF3 fr-en newsdiscusstest2015 online-F.0 54.811 -0.423 
chrF3 fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 58.3047 0.415 
chrF3 fr-en newsdiscusstest2015 UM-nDA.4036 57.5056 0.275 
chrF fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 58.0035 0.446 
chrF fr-en newsdiscusstest2015 online-A.0 57.1638 0.223 
chrF fr-en newsdiscusstest2015 online-B.0 58.3967 0.498 
chrF fr-en newsdiscusstest2015 online-E.0 50.413 -1.434 
chrF fr-en newsdiscusstest2015 online-F.0 53.5939 -0.423 
chrF fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 58.1085 0.415 
chrF fr-en newsdiscusstest2015 UM-nDA.4036 57.2566 0.275 
DPMFcomb fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 13.6208269702 0.446 
DPMFcomb fr-en newsdiscusstest2015 online-A.0 13.5112514787 0.223 
DPMFcomb fr-en newsdiscusstest2015 online-B.0 13.5890509436 0.498 
DPMFcomb fr-en newsdiscusstest2015 online-E.0 12.9529328986 -1.434 
DPMFcomb fr-en newsdiscusstest2015 online-F.0 13.2689247176 -0.423 
DPMFcomb fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 13.6247327254 0.415 
DPMFcomb fr-en newsdiscusstest2015 UM-nDA.4036 13.5543647758 0.275 
DPMF fr-en newsdiscusstest2015 UM-nDA.4036 0.21886742538 0.275 
DPMF fr-en newsdiscusstest2015 online-A.0 0.218013946081 0.223 
DPMF fr-en newsdiscusstest2015 online-F.0 0.204166238662 -0.423 
DPMF fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 0.222290092497 0.446 
DPMF fr-en newsdiscusstest2015 online-B.0 0.222357667522 0.498 
DPMF fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 0.222123514802 0.415 
DPMF fr-en newsdiscusstest2015 online-E.0 0.188293307756 -1.434 
LeBLEU-default fr-en newsdiscusstest2015 UM-nDA.4036 0.670031 0.275 
LeBLEU-default fr-en newsdiscusstest2015 online-A.0 0.662594 0.223 
LeBLEU-default fr-en newsdiscusstest2015 online-F.0 0.631195 -0.423 
LeBLEU-default fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 0.676743 0.415 
LeBLEU-default fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 0.679925 0.446 
LeBLEU-default fr-en newsdiscusstest2015 online-B.0 0.659434 0.498 
LeBLEU-default fr-en newsdiscusstest2015 online-E.0 0.603723 -1.434 
LeBLEU-optimized fr-en newsdiscusstest2015 UM-nDA.4036 0.550299 0.275 
LeBLEU-optimized fr-en newsdiscusstest2015 online-A.0 0.548021 0.223 
LeBLEU-optimized fr-en newsdiscusstest2015 online-F.0 0.497063 -0.423 
LeBLEU-optimized fr-en newsdiscusstest2015 uedin-jhu-phrase.4105 0.560663 0.415 
LeBLEU-optimized fr-en newsdiscusstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 0.564051 0.446 
LeBLEU-optimized fr-en newsdiscusstest2015 online-B.0 0.552291 0.498 
LeBLEU-optimized fr-en newsdiscusstest2015 online-E.0 0.457369 -1.434 
METEOR-WSD fr-en newstest2015 online-A.0 0.594718141937 0.223 
METEOR-WSD fr-en newstest2015 online-B.0 0.595785199264 0.498 
METEOR-WSD fr-en newstest2015 online-E.0 0.582941233448 -1.434 
METEOR-WSD fr-en newstest2015 online-F.0 0.588150057116 -0.423 
METEOR-WSD fr-en newstest2015 UM-nDA.4036 0.596395494413 0.275 
METEOR-WSD fr-en newstest2015 LIMSI-CNRS-mosesSoulMoreFeatures.3999 0.596386380462 0.446 
METEOR-WSD fr-en newstest2015 uedin-jhu-phrase.4105 0.596288165338 0.415 
RATATOUILLE fr-en newstest2015 online-A.0 0.982578224203 0.223 
