METRIC  LP  DATA  SYSTEM  SCORE HUMAN
BEER ru-en newstest2015 LIMSI-NCode-SOUL.3998 0.141484912697688 0.01 
BEER ru-en newstest2015 MITLL-AFRL-hiero.4090 0.143438070355227 0.051 
BEER ru-en newstest2015 MITLL-AFRL-pbfac.4077 0.14399594152489 0.113 
BEER ru-en newstest2015 MITLL-AFRL-phrase-based.4089 0.146015508559847 0.116 
BEER ru-en newstest2015 PROMT-Rule-based.3993 0.134722473812213 0.129 
BEER ru-en newstest2015 USAAR-gacha.3986 0.120489094123122 -0.278 
BEER ru-en newstest2015 USAAR-gacha.4052 0.123420647218793 -0.218 
BEER ru-en newstest2015 online-A.0 0.146127934837612 0.104 
BEER ru-en newstest2015 online-B.0 0.164055253861307 0.311 
BEER ru-en newstest2015 online-F.0 0.0893485086861551 -0.781 
BEER ru-en newstest2015 online-G.0 0.172257269351669 0.494 
BEER ru-en newstest2015 uedin-jhu-phrase.4065 0.146216170370065 -0.031 
BEER ru-en newstest2015 uedin-syntax.4005 0.140409302461896 -0.021 
BEER_Treepel ru-en newstest2015 LIMSI-NCode-SOUL.3998 0.125583182597302 0.01 
BEER_Treepel ru-en newstest2015 MITLL-AFRL-hiero.4090 0.126747141498779 0.051 
BEER_Treepel ru-en newstest2015 MITLL-AFRL-pbfac.4077 0.127751175975818 0.113 
BEER_Treepel ru-en newstest2015 MITLL-AFRL-phrase-based.4089 0.129969603985189 0.116 
BEER_Treepel ru-en newstest2015 PROMT-Rule-based.3993 0.121508943578311 0.129 
BEER_Treepel ru-en newstest2015 USAAR-gacha.3986 0.107593729908362 -0.278 
BEER_Treepel ru-en newstest2015 USAAR-gacha.4052 0.11058663112893 -0.218 
BEER_Treepel ru-en newstest2015 online-A.0 0.129402092783696 0.104 
BEER_Treepel ru-en newstest2015 online-B.0 0.145748062870707 0.311 
BEER_Treepel ru-en newstest2015 online-F.0 0.0764284236624783 -0.781 
BEER_Treepel ru-en newstest2015 online-G.0 0.153466903662281 0.494 
BEER_Treepel ru-en newstest2015 uedin-jhu-phrase.4065 0.127995388826823 -0.031 
BEER_Treepel ru-en newstest2015 uedin-syntax.4005 0.12244059876604 -0.021 
BS ru-en newstest2015 LIMSI-NCode-SOUL.3998 0.224491996066 0.01 
BS ru-en newstest2015 MITLL-AFRL-hiero.4090 0.226372210164 0.051 
BS ru-en newstest2015 MITLL-AFRL-pbfac.4077 0.225633928569 0.113 
BS ru-en newstest2015 MITLL-AFRL-phrase-based.4089 0.224703678022 0.116 
BS ru-en newstest2015 PROMT-Rule-based.3993 0.237072527782 0.129 
BS ru-en newstest2015 USAAR-gacha.3986 0.230996008892 -0.278 
BS ru-en newstest2015 USAAR-gacha.4052 0.229666894259 -0.218 
BS ru-en newstest2015 online-A.0 0.227328927379 0.104 
BS ru-en newstest2015 online-B.0 0.218586714117 0.311 
BS ru-en newstest2015 online-F.0 0.255966931168 -0.781 
BS ru-en newstest2015 online-G.0 0.218561803076 0.494 
BS ru-en newstest2015 uedin-jhu-phrase.4065 0.222961947452 -0.031 
BS ru-en newstest2015 uedin-syntax.4005 0.226088490391 -0.021 
chrF3 ru-en newstest2015 LIMSI-NCode-SOUL.3998 53.8339 0.01 
chrF3 ru-en newstest2015 MITLL-AFRL-hiero.4090 53.8045 0.051 
chrF3 ru-en newstest2015 MITLL-AFRL-pbfac.4077 53.3341 0.113 
chrF3 ru-en newstest2015 MITLL-AFRL-phrase-based.4089 53.3765 0.116 
chrF3 ru-en newstest2015 online-A.0 53.9501 0.104 
chrF3 ru-en newstest2015 online-B.0 56.2375 0.311 
chrF3 ru-en newstest2015 online-F.0 49.4732 -0.781 
chrF3 ru-en newstest2015 online-G.0 56.3915 0.494 
chrF3 ru-en newstest2015 PROMT-Rule-based.3993 53.3419 0.129 
chrF3 ru-en newstest2015 uedin-jhu-phrase.4065 54.8913 -0.031 
chrF3 ru-en newstest2015 uedin-syntax.4005 53.714 -0.021 
chrF3 ru-en newstest2015 USAAR-gacha.3986 50.4205 -0.278 
chrF3 ru-en newstest2015 USAAR-gacha.4052 50.7393 -0.218 
chrF ru-en newstest2015 LIMSI-NCode-SOUL.3998 55.1203 0.01 
chrF ru-en newstest2015 MITLL-AFRL-hiero.4090 54.7211 0.051 
chrF ru-en newstest2015 MITLL-AFRL-pbfac.4077 55.0475 0.113 
chrF ru-en newstest2015 MITLL-AFRL-phrase-based.4089 54.8342 0.116 
chrF ru-en newstest2015 online-A.0 55.2834 0.104 
chrF ru-en newstest2015 online-B.0 57.4392 0.311 
chrF ru-en newstest2015 online-F.0 48.008 -0.781 
chrF ru-en newstest2015 online-G.0 57.5089 0.494 
chrF ru-en newstest2015 PROMT-Rule-based.3993 53.488 0.129 
chrF ru-en newstest2015 uedin-jhu-phrase.4065 55.7866 -0.031 
chrF ru-en newstest2015 uedin-syntax.4005 54.9541 -0.021 
chrF ru-en newstest2015 USAAR-gacha.3986 51.575 -0.278 
chrF ru-en newstest2015 USAAR-gacha.4052 51.8451 -0.218 
DPMFcomb ru-en newstest2015 LIMSI-NCode-SOUL.3998 13.2653791013 0.01 
DPMFcomb ru-en newstest2015 MITLL-AFRL-hiero.4090 13.2799151574 0.051 
DPMFcomb ru-en newstest2015 MITLL-AFRL-pbfac.4077 13.2786160276 0.113 
