LP R N METRIC 
cs-en 0.982967975438649 16 BEER 
cs-en 0.991591667072141 16 BEER_Treepel 
cs-en 0.97572346627155 16 BS 
cs-en 0.967792616655848 16 chrF3 
cs-en 0.981498203568041 16 chrF 
cs-en 0.991138870408578 16 DPMFcomb 
cs-en 0.984449188824641 16 DPMF 
cs-en 0.947061485453547 16 LeBLEU-default 
cs-en 0.975588603809155 16 LeBLEU-optimized 
cs-en 0.983211033140785 16 METEOR-WSD 
cs-en 0.960582889591753 16 RATATOUILLE 
cs-en 0.985759841498618 16 Dreem 
cs-en 0.982825375730584 16 UoW-LSTM 
cs-en 0.993184670738928 16 upf-cobalt 
cs-en 0.992942134567303 16 VERTa-70Adeq30Flu 
cs-en 0.990035028943202 16 VERTa-EQ 
cs-en 0.988300689219449 16 VERTa-W 
cs-en 0.959849513181574 16 CDER 
cs-en 0.972541676463992 16 NIST 
cs-en 0.956591324773852 16 BLEU 
cs-en 0.962802170556603 16 PER 
cs-en 0.907422682424864 16 TER 
cs-en 0.887602487324182 16 WER 
