LP R N METRIC 
de-en 0.981144139989921 13 upf-cobalt 
de-en 0.972913318189861 13 DPMFcomb 
de-en 0.960085021036082 13 DPMF 
de-en 0.95959569158782 13 UoW-LSTM 
de-en 0.958416744400529 13 RATATOUILLE 
de-en 0.956193275264999 13 chrF3 
de-en 0.953176179209138 13 METEOR-WSD 
de-en 0.951595163527877 13 BEER_Treepel 
de-en 0.94631951282228 13 BEER 
de-en 0.933966616487793 13 VERTa-70Adeq30Flu 
de-en 0.933728279676134 13 chrF 
de-en 0.92816332577728 13 VERTa-W 
de-en 0.915627032648577 13 LeBLEU-optimized 
de-en 0.915627032648577 13 LeBLEU-default 
de-en 0.905589828536029 13 VERTa-EQ 
de-en 0.901384675930851 13 NIST 
de-en 0.890210582522355 13 CDER 
de-en 0.890149559020506 13 TER 
de-en 0.88871198246245 13 Dreem 
de-en 0.884469893270131 13 WER 
de-en 0.871744016258295 13 BS 
de-en 0.865475032069688 13 BLEU 
de-en 0.846400109627995 13 PER 
