LP R N METRIC 
en-cs 0.961887752185433 15 BEER 
en-cs 0.953079865409243 15 BS 
en-cs 0.977419856472532 15 chrF3 
en-cs 0.970699114710368 15 chrF 
en-cs 0.9534991338793 15 LeBLEU-default 
en-cs 0.951917987149877 15 LeBLEU-optimized 
en-cs 0.952660740522693 15 METEOR-WSD 
en-cs 0.964563463651608 15 RATATOUILLE 
en-cs 0.88315564367654 15 Dreem 
en-cs 0.929130066633263 15 CDER 
en-cs 0.958142257873842 15 NIST 
en-cs 0.935631256927203 15 BLEU 
en-cs 0.907821688806004 15 PER 
en-cs 0.917167925220841 15 TER 
en-cs 0.909799659163209 15 WER 
