LP R N METRIC 
en-de 0.87907013872025 16 BEER 
en-de 0.713560695950123 16 BS 
en-de 0.848193311006503 16 chrF3 
en-de 0.689715527459544 16 chrF 
en-de 0.849687599278401 16 LeBLEU-default 
en-de 0.867652631817195 16 LeBLEU-optimized 
en-de 0.650433054334886 16 METEOR-WSD 
en-de 0.861641258466511 16 RATATOUILLE 
en-de 0.0739579624203978 16 Dreem 
en-de 0.660257119153635 16 CDER 
en-de 0.502313002277402 16 NIST 
en-de 0.573162639754615 16 BLEU 
en-de 0.315935942584864 16 PER 
en-de 0.563550533498495 16 TER 
en-de 0.568092226401824 16 WER 
