LP R N METRIC 
en-fi 0.807813369683355 10 BEER 
en-fi 0.335591617948467 10 BS 
en-fi 0.878017874797487 10 chrF3 
en-fi 0.8409415887437 10 chrF 
en-fi 0.835015604103071 10 LeBLEU-default 
en-fi 0.803008184933862 10 LeBLEU-optimized 
en-fi 0.75990550070991 10 METEOR-WSD 
en-fi 0.76341349146634 10 RATATOUILLE 
en-fi 0.384634677005917 10 Dreem 
en-fi 0.639935344859072 10 CDER 
en-fi 0.691725164492298 10 NIST 
en-fi 0.60158062134666 10 BLEU 
en-fi 0.603276000913831 10 PER 
en-fi 0.613696292478448 10 TER 
en-fi 0.608118031155616 10 WER 
