LP R N METRIC 
en-fr 0.961196468275867 7 BEER 
en-fr 0.964407724763894 7 BS 
en-fr 0.932275943808229 7 chrF3 
en-fr 0.930095763128991 7 chrF 
en-fr 0.932585143603623 7 LeBLEU-default 
en-fr 0.932585143603623 7 LeBLEU-optimized 
en-fr 0.959099931286238 7 METEOR-WSD 
en-fr 0.956836796551063 7 RATATOUILLE 
en-fr 0.87126559925065 7 Dreem 
en-fr 0.952969442719212 7 CDER 
en-fr 0.9490036242437 7 NIST 
en-fr 0.947584270292399 7 BLEU 
en-fr 0.948927373600498 7 PER 
en-fr 0.948443833473323 7 TER 
en-fr 0.940778314976755 7 WER 
