LP R N METRIC 
en-ru 0.970356912197058 10 BEER 
en-ru 0.851591048291394 10 BS 
en-ru 0.945768820219242 10 chrF3 
en-ru 0.914857581346043 10 chrF 
en-ru 0.895537306317872 10 LeBLEU-default 
en-ru 0.90782038465444 10 LeBLEU-optimized 
en-ru 0.891625045348736 10 METEOR-WSD 
en-ru 0.913325579358972 10 RATATOUILLE 
en-ru 0.96844651712607 10 Dreem 
en-ru 0.86262082202923 10 CDER 
en-ru 0.893396837070401 10 NIST 
en-ru 0.841302096549919 10 BLEU 
en-ru 0.857899937565055 10 PER 
en-ru 0.882965202171683 10 TER 
en-ru 0.883892737572004 10 WER 
