LP R N METRIC 
fi-en 0.965093329791188 14 BEER 
fi-en 0.970543864891455 14 BEER_Treepel 
fi-en 0.92474791395153 14 BS 
fi-en 0.902567772137254 14 chrF3 
fi-en 0.946801545188111 14 chrF 
fi-en 0.957963658565226 14 DPMFcomb 
fi-en 0.95111533756891 14 DPMF 
fi-en 0.900178169731238 14 LeBLEU-default 
fi-en 0.900178169731238 14 LeBLEU-optimized 
fi-en 0.950333291934949 14 METEOR-WSD 
fi-en 0.902255462698183 14 RATATOUILLE 
fi-en 0.976533977186876 14 Dreem 
fi-en 0.975852501703675 14 UoW-LSTM 
fi-en 0.961940586444976 14 upf-cobalt 
fi-en 0.949493009878391 14 VERTa-70Adeq30Flu 
fi-en 0.920815416505397 14 VERTa-EQ 
fi-en 0.954648503499745 14 VERTa-W 
fi-en 0.96556715827221 14 CDER 
fi-en 0.894278014127713 14 NIST 
fi-en 0.928884058590259 14 BLEU 
fi-en 0.870802315863607 14 PER 
fi-en 0.871594437065318 14 TER 
fi-en 0.853432362134708 14 WER 
