LP R N METRIC 
fr-en 0.979074527703738 7 BEER 
fr-en 0.980610299201941 7 BEER_Treepel 
fr-en -0.985574177485535 7 BS 
fr-en 0.978620481134417 7 chrF3 
fr-en 0.992899194159108 7 chrF 
fr-en 0.995082297440425 7 DPMFcomb 
fr-en 0.997472191116007 7 DPMF 
fr-en 0.955445692827831 7 LeBLEU-default 
fr-en 0.983678138034545 7 LeBLEU-optimized 
fr-en 0.982208513677997 7 METEOR-WSD 
fr-en 0.98629153696174 7 RATATOUILLE 
fr-en 0.949585184658069 7 Dreem 
fr-en 0.996987644082477 7 UoW-LSTM 
fr-en 0.987078206365577 7 upf-cobalt 
fr-en 0.982291320703488 7 VERTa-70Adeq30Flu 
fr-en 0.983024254444594 7 VERTa-EQ 
fr-en 0.977058728356265 7 VERTa-W 
fr-en 0.983043417232588 7 CDER 
fr-en 0.979785912208531 7 NIST 
fr-en 0.974578367013862 7 BLEU 
fr-en 0.977884407933606 7 PER 
fr-en 0.979458930777891 7 TER 
fr-en 0.976504572870124 7 WER 
