LP R N METRIC 
ru-en 0.97062802564652 13 BEER 
ru-en 0.980912743620964 13 BEER_Treepel 
ru-en 0.847368727979139 13 BS 
ru-en 0.897765736620109 13 chrF3 
ru-en 0.937835240901819 13 chrF 
ru-en 0.973642997314586 13 DPMFcomb 
ru-en 0.972641683286166 13 DPMF 
ru-en 0.908425383306286 13 LeBLEU-default 
ru-en 0.841894549247247 13 LeBLEU-optimized 
ru-en 0.975732602597142 13 METEOR-WSD 
ru-en 0.95488567021576 13 RATATOUILLE 
ru-en 0.929311668907075 13 Dreem 
ru-en 0.962882999386788 13 UoW-LSTM 
ru-en 0.929275297425862 13 upf-cobalt 
ru-en 0.97217346276731 13 VERTa-70Adeq30Flu 
ru-en 0.952855447616401 13 VERTa-EQ 
ru-en 0.96434373359719 13 VERTa-W 
ru-en 0.919865185215719 13 CDER 
ru-en 0.910367638389036 13 NIST 
ru-en 0.851199200750282 13 BLEU 
ru-en 0.930915188462134 13 PER 
ru-en 0.907412224001664 13 TER 
ru-en 0.894824234691166 13 WER 
